call: call id: 2, costumer name: Hanny, call recap: Was very helpful done by: name: Lana, id: 3, type: Respondent
call: call id: 1, costumer name: Berry, call recap: Angry costumer done by: name: Mor, id: 2, type: Respondent
call: call id: 5, costumer name: Neema, call recap: Want To get a new phone done by: name: Mali, id: 6, type: Manager
call: call id: 9, costumer name: Neri, call recap: Says he want to merry sone done by: name: Mor, id: 2, type: Respondent
call: call id: 4, costumer name: Magi, call recap: Please let me know if you read it done by: name: Roi, id: 5, type: Respondent
call: call id: 3, costumer name: Sara, call recap: So glad this call ended done by: name: Bar, id: 4, type: Respondent
call: call id: 2, costumer name: Hanny, call recap: Was very helpful done by: name: Lana, id: 3, type: Respondent
call: call id: 1, costumer name: Berry, call recap: Angry costumer done by: name: Mor, id: 2, type: Respondent
call: call id: 5, costumer name: Neema, call recap: Want To get a new phone done by: name: Mali, id: 6, type: Manager
call: call id: 9, costumer name: Neri, call recap: Says he want to merry sone done by: name: Mor, id: 2, type: Respondent
call: call id: 4, costumer name: Magi, call recap: Please let me know if you read it done by: name: Roi, id: 5, type: Respondent
call: call id: 3, costumer name: Sara, call recap: So glad this call ended done by: name: Bar, id: 4, type: Respondent
call: call id: 2, costumer name: Hanny, call recap: Was very helpful done by: name: Lana, id: 3, type: Respondent
call: call id: 1, costumer name: Berry, call recap: Angry costumer done by: name: Mor, id: 2, type: Respondent
call: call id: 5, costumer name: Neema, call recap: Want To get a new phone done by: name: Mali, id: 6, type: Manager
call: call id: 9, costumer name: Neri, call recap: Says he want to merry sone done by: name: Mor, id: 2, type: Respondent
call: call id: 4, costumer name: Magi, call recap: Please let me know if you read it done by: name: Roi, id: 5, type: Respondent
call: call id: 3, costumer name: Sara, call recap: So glad this call ended done by: name: Bar, id: 4, type: Respondent
